id;job_name;pay_type;pay_amt;job_desc;job_location
1;Armenia compelling;DAILY;84974;exuding;hack deposit
2;Garden Investor;JOBCOMPLETION;9604;Stravenue dynamic Beauty;eyeballs mission-critical
3;transmitting auxiliary;HOURLY;63091;Mountains Compatible Incredible;Buckinghamshire
4;Road contingency Mills;DAILY;16460;envisioneer;SMS Cambridgeshire
5;Borders Operations Handcrafted;DAILY;94556;mobile Cross-group;USB
6;purple;DAILY;98746;Markets directional Expanded;violet Baby
7;relationships e-tailers;DAILY;41840;Stravenue input;Savings Account sky blue
8;yellow Cyprus Focused;JOBCOMPLETION;96645;Lari Liberian Dollar strategy;Outdoors
9;access CSS;HOURLY;85415;Web deposit;white
10;hardware;DAILY;75809;Chair Facilitator encryption;functionalities generating
